conversation_id,in_reply_to_user_id,public_metrics,created_at,author_id,id,text
1466874887524421632,2230225514,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-04T23:05:28.000Z,1130648708566179841,1467268847745081346,@UniversalPicsBr @anygabrielly @Fiuk quero tanto ver o filme https://t.co/N7UnmeKhxn
1467268691884654595,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2021-12-04T23:04:51.000Z,1355987894603837442,1467268691884654595,"Tata Werneck dá show de maturidade e pede fim aos ataques contra Fiuk, mesmo após o ator constrangê-la em seu programa: ""Tá tudo bem. Achei que vocês fossem shippar o casal."" https://t.co/jO24uALPJ8"
1467249854728609797,1441891047026552834,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-04T23:03:56.000Z,1465436751388885002,1467268463433560066,"@Claudia77613373 @afazendarecord @dynhoalvesreal @sthefanematos_ Amo o Big Fone muito legal. Amo tbm o monstro e o anjo 😂Lá eles não ficam coçando o saco. Vem logo BBB e o 20 marcou tanto. Babu, Prior, Pyong, as meninas, outros, enfim, foi d+ pq tinha conteúdo pra todos! No 21 com Julite, Fiuk, Gil do Vigor.. Aaa saudades.. Conteúdo divertido"
1467267671632887816,,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 8, 'quote_count': 0}",2021-12-04T23:00:48.000Z,185448711,1467267671632887816,Eu e mainha botamos o lady night com Fiuk aqui porque a gente gosta de sofrer. Me desejem sorte
1467132306989191168,1418675907288518657,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 5, 'quote_count': 0}",2021-12-04T22:59:40.000Z,1081607577778225153,1467267388383109120,"@yaeminion Alguem me explicar por que o Fiuk é ""famoso""? Por ser filho do Fabio Junior?"
1467267272993648646,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 7, 'quote_count': 0}",2021-12-04T22:59:13.000Z,1076318835505065984,1467267272993648646,eu tinha deletado da minha mente que o fiuk foi um dos 3 finalistas... é inacreditável
1467267190621622281,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-04T22:58:53.000Z,3407773611,1467267190621622281,"Fiuk ia lançar um ""Poxa Tatá isso é muito sério, a gente é branco, hétero, privilegiadasso, não é nosso lugar de fala"" e ia começar a chorar 🤣🤣🤣🤣🤣🤣 https://t.co/c46ylle9aw"
1467266535282642948,1389775731710963712,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2021-12-04T22:58:12.000Z,1389775731710963712,1467267017703137283,aí o corno vai e bota FIUK VERSÃO FUNK pra lembrar que 2021 ainda pode piorar...
1467266346350223362,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-04T22:55:32.000Z,928748139720388608,1467266346350223362,"Fiuk ganhou o Oscar por ser o maior inimigo do humor, o cara conseguiu deixar a TATA WERNECK CONSTRANGIDA PQP!!!!!!!!!"
1467234213556629510,1342346203355357186,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",2021-12-04T22:54:18.000Z,1297376821030408192,1467266039314624513,@brigasdiarias Aquele que foi ajudar era o FIUK
1467265767846653958,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-04T22:53:14.000Z,1161590465990418434,1467265767846653958,esse fiuk nao me da paz que cachorro chato
1467263749203578882,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2021-12-04T22:45:12.000Z,2548703743,1467263749203578882,eu odeio o fiuk em níveis alarmantes
1467263744585703425,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-04T22:45:11.000Z,728627624,1467263744585703425,daria tudo pra ouvir fiuk cantando begging com a mesma entonação que ele cantou photograph no bbb.
1467255416476340230,10683412,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 21, 'quote_count': 0}",2021-12-04T22:40:07.000Z,148184217,1467262467197878272,@chicobarney Fiuk no extremo de seu passivo-agressivismo. Chato e atacando. Muito ruim mesmo.
1467255416476340230,10683412,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 64, 'quote_count': 0}",2021-12-04T22:39:50.000Z,915686838299447296,1467262395085201412,"@chicobarney Ele é sem carisma nenhuma impressionante, o cara não consegue rende um papo devido a sua chatice, Fiuk o cantor que não cantar,o ator que não atua,o influencer que não influencia com sua carisma."
1467255416476340230,10683412,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-04T22:34:23.000Z,1201909375809605637,1467261024038539264,@chicobarney Está fiuk e Thiaguinho
1467260868174008325,43132532,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 20, 'quote_count': 0}",2021-12-04T22:33:46.000Z,402145577,1467260868174008325,"@Fiuk meu filho lindo,  pense assim: FALE BEM OU MAL,MAS FALEM DE MIM...nossa qdo passei a pensar assim tudooo ficou mais facil...dá munição pra gente pirada não bb vc ja mostrou que é superior a tudo isso... conte consosco sempre bb."
1467148914184892419,1588749236,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 35, 'quote_count': 0}",2021-12-04T22:33:23.000Z,888597388822269954,1467260771851812871,"@glau_ciaaa @omarciopaulo Vale a pena a entrevista com o Thiaguinho, tá show 
Só pular os 15 min do Fiuk"
1467260372889571331,,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 12, 'quote_count': 0}",2021-12-04T22:31:47.000Z,1348687430082293762,1467260372889571331,"Fiuk e um grande esquerdo macho mimizento 
Falei e sai correndo"
1467255416476340230,10396992,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2021-12-04T22:31:09.000Z,62267947,1467260211790495750,@carla_diele @chicobarney @globoplay A pergunta é: quem é fiuk? Rs
